frame,track_id,class_id,class_name,is_vehicle,conf,x1,y1,x2,y2,cx,cy,w,h
106,2,3,Car,True,0.521,1205.4,399.4,1667.2,939.0,1436.3,669.2,461.8,539.6
107,2,3,Car,True,0.543,1204.9,401.6,1663.1,939.6,1434.0,670.6,458.2,538.0
108,2,3,Car,True,0.469,1211.3,405.8,1658.3,932.1,1434.8,669.0,447.0,526.3
109,2,3,Car,True,0.274,1218.0,407.2,1652.2,918.9,1435.1,663.0,434.2,511.7
110,2,3,Car,True,0.352,1221.5,408.6,1650.6,915.3,1436.0,662.0,429.1,506.7
111,2,3,Car,True,0.345,1218.3,408.5,1651.3,921.8,1434.8,665.1,432.9,513.3
155,4,3,Car,True,0.453,1153.0,439.7,1425.0,692.7,1289.0,566.2,272.0,252.9
157,4,3,Car,True,0.517,1141.3,440.5,1410.4,690.6,1275.9,565.5,269.0,250.1
158,4,3,Car,True,0.462,1131.7,439.2,1402.2,690.6,1267.0,564.9,270.5,251.3
159,4,3,Car,True,0.317,1123.7,440.8,1391.1,688.8,1257.4,564.8,267.4,248.0
162,4,3,Car,True,0.304,1101.0,439.0,1363.2,681.6,1232.1,560.3,262.2,242.6
164,4,3,Car,True,0.305,1080.6,439.7,1341.0,680.2,1210.8,559.9,260.3,240.5
167,4,3,Car,True,0.632,1052.6,441.3,1309.8,677.8,1181.2,559.5,257.2,236.5
168,4,3,Car,True,0.489,1043.8,438.8,1300.9,675.0,1172.3,556.9,257.1,236.3
169,4,3,Car,True,0.357,1032.0,439.4,1288.7,674.9,1160.3,557.1,256.7,235.5
172,4,3,Car,True,0.5,1001.3,439.0,1255.8,672.3,1128.5,555.7,254.4,233.3
173,4,3,Car,True,0.439,991.7,438.0,1245.9,671.1,1118.8,554.6,254.2,233.2
174,4,3,Car,True,0.337,980.1,441.1,1233.1,672.6,1106.6,556.8,253.0,231.4
175,4,3,Car,True,0.505,969.6,442.7,1220.8,672.4,1095.2,557.6,251.3,229.7
176,4,3,Car,True,0.273,959.0,439.8,1213.8,672.3,1086.4,556.1,254.8,232.6
177,4,3,Car,True,0.389,949.5,438.4,1205.6,671.8,1077.5,555.1,256.0,233.3
178,4,3,Car,True,0.3,938.3,438.4,1193.5,671.3,1065.9,554.9,255.2,232.9
179,4,3,Car,True,0.455,926.8,439.8,1182.2,672.7,1054.5,556.3,255.3,232.9
180,4,3,Car,True,0.464,920.4,441.4,1170.9,668.7,1045.6,555.1,250.5,227.3
181,4,3,Car,True,0.598,911.7,441.5,1162.1,667.8,1036.9,554.7,250.4,226.3
182,4,3,Car,True,0.544,904.4,440.4,1156.1,666.7,1030.2,553.6,251.7,226.3
183,4,3,Car,True,0.757,895.3,442.4,1147.0,667.2,1021.2,554.8,251.7,224.8
184,4,3,Car,True,0.727,880.2,443.6,1134.1,669.4,1007.1,556.5,253.9,225.9
185,4,3,Car,True,0.735,867.8,443.5,1122.0,669.3,994.9,556.4,254.2,225.7
186,4,3,Car,True,0.706,857.6,444.5,1110.9,668.6,984.2,556.5,253.3,224.2
187,4,3,Car,True,0.599,853.2,443.7,1104.5,665.0,978.9,554.4,251.4,221.3
188,4,3,Car,True,0.653,844.1,444.3,1093.9,663.5,969.0,553.9,249.8,219.2
189,4,3,Car,True,0.58,832.0,443.4,1085.2,665.4,958.6,554.4,253.2,221.9
190,4,3,Car,True,0.498,822.4,443.5,1073.6,663.0,948.0,553.3,251.3,219.5
191,4,3,Car,True,0.675,815.8,444.5,1065.2,661.9,940.5,553.2,249.5,217.4
192,4,3,Car,True,0.658,808.3,446.0,1058.3,663.5,933.3,554.7,250.0,217.5
193,4,3,Car,True,0.486,802.7,444.9,1052.4,662.4,927.5,553.7,249.7,217.5
194,4,3,Car,True,0.653,796.8,446.9,1042.9,661.4,919.8,554.2,246.1,214.5
195,4,3,Car,True,0.7,790.6,445.8,1038.3,662.5,914.4,554.1,247.8,216.7
196,4,3,Car,True,0.708,781.2,445.1,1033.8,666.2,907.5,555.7,252.6,221.1
197,4,3,Car,True,0.663,776.7,446.2,1027.7,665.8,902.2,556.0,251.0,219.7
198,4,3,Car,True,0.647,772.7,445.3,1023.3,664.7,898.0,555.0,250.6,219.4
199,4,3,Car,True,0.618,769.5,445.3,1020.6,665.3,895.1,555.3,251.2,220.0
200,4,3,Car,True,0.619,765.3,445.1,1017.9,665.9,891.6,555.5,252.6,220.8
201,4,3,Car,True,0.603,760.3,445.0,1015.5,668.1,887.9,556.5,255.2,223.1
202,4,3,Car,True,0.521,757.4,445.8,1014.6,670.8,886.0,558.3,257.2,224.9
203,4,3,Car,True,0.517,755.7,446.3,1012.7,671.0,884.2,558.7,257.0,224.7
204,4,3,Car,True,0.621,753.8,446.9,1009.7,671.2,881.8,559.0,255.9,224.2
205,4,3,Car,True,0.384,752.1,447.9,1005.8,670.7,879.0,559.3,253.7,222.8
206,4,3,Car,True,0.422,750.5,448.8,1001.5,669.9,876.0,559.4,251.0,221.1
207,4,3,Car,True,0.561,747.5,448.8,997.9,669.2,872.7,559.0,250.3,220.4
208,4,3,Car,True,0.578,744.7,449.9,994.7,670.3,869.7,560.1,250.1,220.3
209,4,3,Car,True,0.415,741.4,451.1,991.4,671.6,866.4,561.3,250.1,220.5
210,4,3,Car,True,0.536,738.0,452.1,985.8,670.5,861.9,561.3,247.8,218.4
211,4,3,Car,True,0.463,736.3,452.2,982.5,668.4,859.4,560.3,246.3,216.2
212,4,3,Car,True,0.335,732.3,451.5,979.7,668.8,856.0,560.2,247.4,217.3
214,4,3,Car,True,0.252,728.8,452.9,975.2,669.1,852.0,561.0,246.4,216.2
215,6,3,Car,True,0.441,563.4,479.3,663.9,579.0,613.7,529.1,100.6,99.8
216,6,3,Car,True,0.311,563.1,479.6,663.3,579.2,613.2,529.4,100.2,99.5
217,6,3,Car,True,0.493,562.5,479.8,663.6,580.4,613.0,530.1,101.0,100.6
218,6,3,Car,True,0.423,561.7,482.2,662.4,582.4,612.1,532.3,100.6,100.2
218,4,3,Car,True,0.433,722.7,453.6,970.7,670.8,846.7,562.2,248.0,217.2
219,6,3,Car,True,0.383,563.2,484.0,662.0,582.5,612.6,533.3,98.8,98.4
220,6,3,Car,True,0.36,562.8,483.8,662.7,583.7,612.8,533.7,100.0,99.9
221,6,3,Car,True,0.496,563.1,483.3,663.6,584.0,613.3,533.6,100.5,100.7
222,6,3,Car,True,0.467,564.0,484.2,665.0,585.8,614.5,535.0,100.9,101.6
223,6,3,Car,True,0.534,565.3,484.7,666.1,586.5,615.7,535.6,100.7,101.8
224,6,3,Car,True,0.263,567.5,485.5,667.9,587.2,617.7,536.3,100.4,101.7
225,6,3,Car,True,0.492,570.6,485.3,669.6,585.5,620.1,535.4,99.0,100.2
225,4,3,Car,True,0.273,724.1,452.5,975.5,672.8,849.8,562.6,251.4,220.4
226,6,3,Car,True,0.493,575.0,486.2,672.6,584.7,623.8,535.5,97.6,98.5
227,6,3,Car,True,0.307,578.0,485.2,676.7,584.8,627.4,535.0,98.7,99.5
227,4,3,Car,True,0.27,726.2,451.2,979.4,673.7,852.8,562.5,253.2,222.6
228,6,3,Car,True,0.287,579.5,484.5,680.3,585.8,629.9,535.2,100.8,101.3
228,4,3,Car,True,0.328,729.0,451.2,982.7,674.9,855.9,563.1,253.7,223.8
229,6,3,Car,True,0.541,580.8,485.1,684.4,589.2,632.6,537.1,103.6,104.1
230,6,3,Car,True,0.623,582.1,485.3,687.7,591.7,634.9,538.5,105.6,106.4
231,6,3,Car,True,0.445,587.0,486.5,689.6,589.7,638.3,538.1,102.6,103.2
231,4,3,Car,True,0.252,735.8,454.8,991.6,680.5,863.7,567.6,255.9,225.8
232,6,3,Car,True,0.554,590.6,486.8,693.3,590.1,642.0,538.4,102.7,103.3
233,6,3,Car,True,0.325,594.4,489.0,697.0,591.6,645.7,540.3,102.7,102.6
233,4,3,Car,True,0.254,744.9,454.2,1002.7,681.9,873.8,568.1,257.7,227.7
234,6,3,Car,True,0.509,598.8,488.0,702.8,591.6,650.8,539.8,104.0,103.6
235,6,3,Car,True,0.523,600.7,487.6,706.2,592.5,653.5,540.1,105.5,104.8
236,6,3,Car,True,0.34,604.7,486.5,708.3,589.3,656.5,537.9,103.7,102.8
236,4,3,Car,True,0.301,755.5,449.0,1017.9,682.0,886.7,565.5,262.4,233.0
237,6,3,Car,True,0.55,607.9,485.5,709.9,586.7,658.9,536.1,102.0,101.2
237,4,3,Car,True,0.273,759.9,448.2,1022.1,681.1,891.0,564.7,262.2,232.9
238,6,3,Car,True,0.463,613.3,485.1,713.5,584.4,663.4,534.7,100.2,99.3
238,4,3,Car,True,0.53,762.4,446.0,1026.5,680.8,894.4,563.4,264.2,234.8
239,6,3,Car,True,0.575,617.3,484.4,718.6,584.6,668.0,534.5,101.3,100.2
239,4,3,Car,True,0.479,763.8,445.1,1028.2,680.2,896.0,562.6,264.4,235.0
240,6,3,Car,True,0.555,620.0,483.6,722.3,584.8,671.1,534.2,102.3,101.3
240,4,3,Car,True,0.527,767.1,445.5,1030.8,679.8,899.0,562.6,263.6,234.2
241,6,3,Car,True,0.396,622.4,483.4,725.2,585.6,673.8,534.5,102.8,102.2
241,4,3,Car,True,0.316,771.3,448.3,1032.8,680.1,902.0,564.2,261.5,231.8
242,6,3,Car,True,0.352,625.3,483.4,728.8,586.3,677.1,534.8,103.5,103.0
242,4,3,Car,True,0.457,774.9,448.6,1035.3,679.4,905.1,564.0,260.3,230.8
243,6,3,Car,True,0.316,628.7,483.2,731.5,585.6,680.1,534.4,102.8,102.3
243,4,3,Car,True,0.262,779.5,447.8,1040.9,679.7,910.2,563.8,261.3,231.8
244,6,3,Car,True,0.347,633.0,482.9,735.7,585.0,684.4,533.9,102.7,102.1
244,4,3,Car,True,0.41,781.2,445.8,1045.3,680.5,913.3,563.2,264.1,234.6
245,6,3,Car,True,0.538,636.9,482.7,738.8,584.3,687.8,533.5,101.9,101.5
245,4,3,Car,True,0.339,784.0,446.2,1047.4,679.9,915.7,563.0,263.3,233.7
246,6,3,Car,True,0.61,638.0,481.5,741.9,585.2,689.9,533.4,104.0,103.7
246,4,3,Car,True,0.5,784.6,445.6,1051.7,682.5,918.2,564.1,267.1,236.9
247,6,3,Car,True,0.422,638.3,480.5,743.2,585.4,690.8,533.0,104.9,104.9
248,6,3,Car,True,0.607,640.4,479.9,746.2,585.7,693.3,532.8,105.8,105.8
